gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,abs_log2FC
ENSG00000119938.9,PPP1R3C,640.915318437488,0.7088942422661199,0.2476051181989029,0.0001517167239364,0.0346823713128021,0.7088942422661199
ENSG00000293464.1,ENSG00000293464,427.086249173401,0.6443377563750022,0.2254368763925624,0.000153066005106,0.0346823713128021,0.6443377563750022
ENSG00000123119.12,NECAB1,1067.560106442117,0.7406164165888108,0.2599942559584582,0.0001580226732094,0.035346430506229,0.7406164165888108
ENSG00000165475.15,CRYL1,690.1611065828297,0.4509130601215828,0.1554842855611197,0.0001637349058854,0.0357085362872825,0.4509130601215828
ENSG00000184557.4,SOCS3,2414.387516362818,1.203101974461666,0.440471211291423,0.0001696446223074,0.0365406138937948,1.203101974461666
ENSG00000163659.13,TIPARP,2727.66390082406,0.4364364373413209,0.1557086840380664,0.0001974173621998,0.0402186354599982,0.4364364373413209
ENSG00000196549.13,MME,1855.683120636309,1.358388970792552,0.4996723580523893,0.0001986959633233,0.0402186354599982,1.358388970792552
ENSG00000288802.1,ENSG00000288802,146.8475014155392,0.6482671009774535,0.2332095116807211,0.0002005514578448,0.0402186354599982,0.6482671009774535
ENSG00000186314.12,PRELID2,513.2831382586945,0.6424162038438165,0.2327577097413781,0.0002114625077018,0.0419248451349404,0.6424162038438165
ENSG00000149591.17,TAGLN,1405.5433785555267,1.445076059770974,0.630725555929922,0.0002436429695113,0.0467125152644512,1.445076059770974
ENSG00000141314.13,RHBDL3,489.35248193685646,-1.504964152221576,0.2200057174136103,3.44018695475636e-13,6.00209417996342e-09,1.504964152221576
ENSG00000242268.3,LINC02082,34.97834698737906,-1.8419458594353368,0.4084872908756024,1.953817474925226e-07,0.0005681375580836,1.8419458594353368
ENSG00000124491.16,F13A1,373.5528684076942,-0.037680463959428,0.0937819250617859,4.613492133019008e-07,0.0007708675626498,0.037680463959428
ENSG00000135824.13,RGS8,2832.508601136275,-1.051480481165784,0.2407414014583758,5.319491526858068e-07,0.0007734097389091,1.051480481165784
ENSG00000107863.20,ARHGAP21,6073.801915364256,-0.5595063428535034,0.1380996225886204,2.383994899645975e-06,0.0027729039342748,0.5595063428535034
ENSG00000089280.19,FUS,1049.910686324985,-1.3467360365472347,0.3451233046995906,2.752290593784172e-06,0.0030012008743595,1.3467360365472347
ENSG00000170561.13,IRX2,649.0896992088327,-1.077055205752122,0.2877555270500021,6.411028858091372e-06,0.005592661024356,1.077055205752122
ENSG00000171540.8,OTP,38.00523525818815,-0.0294386018886854,0.0882614913783304,8.468973987784103e-06,0.0067162813256757,0.0294386018886854
ENSG00000155511.19,GRIA1,4310.493856295463,-0.5809445262839944,0.1562771305993201,9.138378941857385e-06,0.0069320564086341,0.5809445262839944
ENSG00000162490.7,DRAXIN,3326.287952725398,-0.8064892165511288,0.2226391093686409,9.978386758959138e-06,0.0070217676264217,0.8064892165511288
ENSG00000167081.18,PBX3,4316.16416782767,-0.619714395435677,0.1734962587594451,1.395450067056314e-05,0.0079636221969722,0.619714395435677
ENSG00000049759.20,NEDD4L,5283.765410971606,-0.8096961237762615,0.2283043582077231,1.413967659079298e-05,0.0079636221969722,0.8096961237762615
ENSG00000170549.4,IRX1,227.6076507903853,-1.079979645826386,0.3049425450000894,1.414984169806519e-05,0.0079636221969722,1.079979645826386
ENSG00000008196.13,TFAP2B,249.132569092191,-1.952408423370418,0.5966886212604418,1.500199862358104e-05,0.0081793709370504,1.952408423370418
ENSG00000196263.8,ZNF471,585.04191738547,-1.591208646998946,0.5274132679157087,1.930624015771927e-05,0.0091036749197764,1.591208646998946
ENSG00000158321.19,AUTS2,1889.9512053507449,-0.8067062622645995,0.2354561876825675,2.337391647257127e-05,0.0101951180174236,0.8067062622645995
ENSG00000225783.9,MIAT,10925.54235599724,-0.7983555880870711,0.2399889837396055,3.377280575717526e-05,0.013703119582452,0.7983555880870711
ENSG00000259209.3,ENSG00000259209,34.42816026498238,-1.0901390256047667,0.3370091017203332,4.375078699391672e-05,0.0169626662373969,1.0901390256047667
ENSG00000259280.2,ENSG00000259280,53.25584109843964,-1.40762266599818,0.4427141449040765,4.9086087590660816e-05,0.0182213823445586,1.40762266599818
ENSG00000109906.15,ZBTB16,561.7284387523051,-0.9087150216909656,0.2889487966986635,5.777197103313254e-05,0.019892666630525,0.9087150216909656
ENSG00000198914.5,POU3F3,1872.778001830712,-1.207135136787884,0.4017596494049376,5.947711084730656e-05,0.0199557144798645,1.207135136787884
ENSG00000272674.4,PCDHB16,165.0146138447255,-1.431467636695137,0.4680159897137586,6.609872882841813e-05,0.0217225144404347,1.431467636695137
ENSG00000146426.19,TIAM2,409.79570567146095,-0.4827923700106562,0.1522711703568918,6.723309335607698e-05,0.0217225144404347,0.4827923700106562
ENSG00000259867.6,DYNLRB2-AS1,61.07528722153653,-1.380068708674112,0.4645452362912528,7.015086371884719e-05,0.0220297607234934,1.380068708674112
ENSG00000157404.17,KIT,1108.5774055676827,-1.042795282866119,0.3540085922886955,9.041820116158264e-05,0.0260762996355821,1.042795282866119
ENSG00000196876.19,SCN8A,2375.435298574462,-0.5679523596979335,0.18775024795652,9.946368786949785e-05,0.0271147337852988,0.5679523596979335
ENSG00000121057.13,AKAP1,1979.653141025548,-0.6561429548327623,0.2291420885717274,0.0001316295866171,0.0334919537182018,0.6561429548327623
ENSG00000123360.12,PDE1B,135.7278420242723,-1.029071178223525,0.3731093069834932,0.0001332891209746,0.0334919537182018,1.029071178223525
ENSG00000173894.11,CBX2,1020.216152401415,-0.5401149220637188,0.1841608521485393,0.0001343747784876,0.0334919537182018,0.5401149220637188
ENSG00000225313.5,ENSG00000225313,83.13564149438241,-0.6877064837518785,0.2378303679405365,0.0001420259138813,0.0346823713128021,0.6877064837518785
ENSG00000130287.14,NCAN,2719.309726238608,-0.875055161957115,0.3164735853193708,0.0001495164417851,0.0346823713128021,0.875055161957115
ENSG00000198732.11,SMOC1,761.0255785788131,-1.089983805588313,0.3962869818427451,0.0001497615938982,0.0346823713128021,1.089983805588313
ENSG00000140557.12,ST8SIA2,1439.736079623318,-1.0407357670313353,0.3814008369882006,0.000161669317138,0.0357043617228735,1.0407357670313353
ENSG00000182963.11,GJC1,1568.952950168641,-0.6749350130821143,0.2404506288801124,0.0001764031974297,0.037533007140931,0.6749350130821143
ENSG00000233639.9,PANTR1,236.5755581011312,-1.384650293872945,0.5056098098149945,0.0001864607355531,0.0391949452192303,1.384650293872945
ENSG00000221818.9,EBF2,303.3850202952878,-1.025102276760389,0.3905778903939946,0.0001998558267976,0.0402186354599982,1.025102276760389
ENSG00000170035.16,UBE2E3,3018.305240832866,-0.5601109681521816,0.2088140250792721,0.0002290245052045,0.0448965229472364,0.5601109681521816
ENSG00000076716.9,GPC4,1546.736898441863,-0.8500468374878359,0.3260649944123902,0.0002421575212949,0.0467125152644512,0.8500468374878359
